tanggal,rata2_harian_cgk,rata2_harian_dps,rata2_harian_total
2020-01-06,397.96,83.57,481.53
2020-01-13,391.16,82.14,473.3
2020-01-20,397.96,83.57,481.53
2020-01-27,409.86,86.07,495.94
2020-02-03,413.27,86.79,500.05
2020-02-10,403.06,84.64,487.7
2020-02-17,401.36,84.29,485.65
2020-02-24,426.87,89.64,516.51
2020-03-02,428.57,90.0,518.57
2020-03-09,428.57,90.0,518.57
2020-03-16,340.14,71.43,411.56
2020-03-23,188.78,39.64,228.42
2020-03-30,144.56,30.36,174.91
2020-04-06,102.04,21.43,123.47
2020-04-13,96.94,20.36,117.3
2020-04-20,62.93,13.21,76.14
2020-04-27,6.8,1.43,8.23
2020-05-04,13.61,2.86,16.46
2020-05-11,20.41,4.29,24.69
2020-05-18,22.11,4.64,26.75
2020-05-25,11.9,2.5,14.4
2020-06-01,56.12,11.79,67.91
2020-06-08,52.72,11.07,63.79
2020-06-15,44.22,9.29,53.5
2020-06-22,37.41,7.86,45.27
2020-06-29,49.32,10.36,59.68
2020-07-06,62.93,13.21,76.14
2020-07-13,93.54,19.64,113.18
2020-07-20,112.24,23.57,135.82
2020-07-27,122.45,25.71,148.16
2020-08-03,137.76,28.93,166.68
2020-08-10,158.16,33.21,191.38
2020-08-17,183.67,38.57,222.24
2020-08-24,164.97,34.64,199.61
2020-08-31,151.36,31.79,183.15
2020-09-07,159.86,33.57,193.44
2020-09-14,195.0,36.0,231.0
2020-09-21,185.0,35.0,220.0
2020-10-05,196.0,39.0,235.0
2020-10-13,199.0,34.0,233.0
2020-10-19,219.0,41.0,260.0
2020-10-28,278.0,76.0,354.0
2020-11-02,277.0,56.0,333.0
2020-11-11,270.0,56.0,326.0
2020-11-16,265.0,58.0,323.0
2020-11-25,298.0,61.0,359.0
2020-11-30,283.0,55.0,338.0
2020-12-07,285.0,65.0,350.0
2020-12-15,330.0,59.0,389.0
2020-12-21,332.0,62.0,394.0
2020-12-28,296.0,70.0,366.0
2021-01-04,346.0,81.0,427.0
2021-01-11,255.0,47.0,302.0
2021-01-18,211.0,35.0,246.0
2021-01-25,217.0,33.0,250.0
2021-02-01,222.0,34.0,256.0
2021-02-08,207.0,35.0,242.0
2021-02-15,227.0,38.0,265.0
2021-02-22,227.0,38.0,265.0
2021-03-01,237.0,36.0,273.0
2021-03-08,226.0,37.0,263.0
2021-03-15,247.0,43.0,290.0
2021-03-22,247.0,43.0,290.0
2021-03-29,244.0,46.0,290.0
